SimulationIndex,CaseIndex,ControllerIndex,SavedRunIndex,Strategy,VariantLabel,Frequency_Hz,RoadAmplitude_m,StopTime_s,TargetDt_s,SamplesSaved,SamplesPerCycle,RawMinSamplesPerCycle,SavedWindowStart_s,SavedWindowEnd_s,SteadyCheckSignal,SteadyAmplitudeChange_pct,SteadyPhaseChange_deg,Elapsed_s,Status,Message,RawOutputFile
27,14,1,27,Passive,Passive,5,0.0052,14.4,0.00166666666666667,1441,120.083333333333,200.000000000111,12,14.4,vd,2.08452956225844e-06,7.357409364009e-06,3.4419582,SUCCESS,,
28,14,2,28,SHADD,SH_ADD,5,0.0052,14.4,0.00166666666666667,1441,120.083333333333,200.000000000111,12,14.4,vd,0.00928600983080445,0.0448521842125592,4.9074797,SUCCESS,,
29,15,1,29,Passive,Passive,6,0.00433333333333333,14,0.00138888888888889,1441,120.083333333333,166.666666666759,12,14,vd,4.34367130719176e-06,9.30904949598523e-06,3.5843604,SUCCESS,,
30,15,2,30,SHADD,SH_ADD,6,0.00433333333333333,14,0.00138888888888889,1441,120.083333333333,166.666666666759,12,14,vd,0.00739906920826066,0.0172525965215269,4.8547182,SUCCESS,,
31,16,1,31,Passive,Passive,7,0.00371428571428571,13.7142857142857,0.00119047619047619,1440,120.083391243919,142.857142857222,11.9997142857143,13.7128095238095,vd,2.47893080410823e-05,3.05183431046116e-05,3.6176805,SUCCESS,,
32,16,2,32,SHADD,SH_ADD,7,0.00371428571428571,13.7142857142857,0.00119047619047619,1440,120.083391243919,142.857142857222,11.9997142857143,13.7128095238095,vd,0.0393438439807332,0.0133113329805771,4.7645563,SUCCESS,,
33,17,1,33,Passive,Passive,8,0.00325,13.5,0.00104166666666667,1441,120.083333333333,125.000000000069,12,13.5,vd,2.9267222121195e-05,2.88362934029899e-05,3.3710709,SUCCESS,,
34,17,2,34,SHADD,SH_ADD,8,0.00325,13.5,0.00104166666666667,1441,120.083333333333,125.000000000069,12,13.5,vd,0.00148126550359901,0.0020701056950653,4.7810738,SUCCESS,,
35,18,1,35,Passive,Passive,9,0.00288888888888889,13.3333333333333,0.000925925925925926,1441,120.083333333333,111.111111111173,11.9996666666667,13.333,vd,0.000232210475623125,0.000129091989606675,3.5871782,SUCCESS,,
36,18,2,36,SHADD,SH_ADD,9,0.00288888888888889,13.3333333333333,0.000925925925925926,1441,120.083333333333,111.111111111173,11.9996666666667,13.333,vd,0.0697573963835575,0.0158469015039868,4.6538709,SUCCESS,,
37,19,1,37,Passive,Passive,10,0.0026,13.2,0.000833333333333333,1440,120.083391243919,100.000000000055,12,13.1991666666667,vd,1.94928171566138e-05,6.67145048474903e-06,3.387492,SUCCESS,,
38,19,2,38,SHADD,SH_ADD,10,0.0026,13.2,0.000833333333333333,1440,120.083391243919,100.000000000055,12,13.1991666666667,vd,0.0015308708141027,0.00072922850479556,4.9079514,SUCCESS,,
39,20,1,39,Passive,Passive,11,0.00236363636363636,13.0909090909091,0.000757575757575758,1440,120.083391243919,90.9090909091413,11.9990909090909,13.0892424242424,vd,0.000164268966556009,1.42839127778856e-05,3.6038884,SUCCESS,,
40,20,2,40,SHADD,SH_ADD,11,0.00236363636363636,13.0909090909091,0.000757575757575758,1440,120.083391243919,90.9090909091413,11.9990909090909,13.0892424242424,vd,0.0248481811963813,0.104948867232524,5.0201205,SUCCESS,,
41,21,1,41,Passive,Passive,12,0.00216666666666667,13,0.000694444444444444,1441,120.083333333333,83.3333333333795,12,13,vd,0.000259870278562282,9.31125667371197e-06,3.5746638,SUCCESS,,
42,21,2,42,SHADD,SH_ADD,12,0.00216666666666667,13,0.000694444444444444,1441,120.083333333333,83.3333333333795,12,13,vd,0.00190395263008712,0.000151263321492577,4.736204,SUCCESS,,
43,22,1,43,Passive,Passive,13,0.002,12.9230769230769,0.000641025641025641,1441,120.083333333333,76.9230769231196,11.9999230769231,12.923,vd,0.000216175548433818,4.0252514368541e-05,3.4427537,SUCCESS,,
44,22,2,44,SHADD,SH_ADD,13,0.002,12.9230769230769,0.000641025641025641,1441,120.083333333333,76.9230769231196,11.9999230769231,12.923,vd,0.0232005807734288,0.0921987640400042,4.6494248,SUCCESS,,
45,23,1,45,Passive,Passive,15,0.00173333333333333,12.8,0.000555555555555556,1441,120.083333333333,66.6666666667036,12,12.8,vd,0.000220204348514099,0.000114945596176329,3.4078241,SUCCESS,,
46,23,2,46,SHADD,SH_ADD,15,0.00173333333333333,12.8,0.000555555555555556,1441,120.083333333333,66.6666666667036,12,12.8,vd,0.00214539462019649,0.00170933282526626,4.7460985,SUCCESS,,
47,24,1,47,Passive,Passive,17,0.00152941176470588,12.7058823529412,0.000490196078431373,1440,120.083391243919,58.8235294117973,11.9991176470588,12.7045098039216,vd,4.39707124994841e-05,9.5773889505725e-05,3.6139507,SUCCESS,,
48,24,2,48,SHADD,SH_ADD,17,0.00152941176470588,12.7058823529412,0.000490196078431373,1440,120.083391243919,58.8235294117973,11.9991176470588,12.7045098039216,vd,0.0881843803009921,0.00281447158998452,4.7766897,SUCCESS,,
49,25,1,49,Passive,Passive,20,0.0013,12.6,0.000416666666666667,1440,120.083391243919,50.0000000000277,12,12.5995833333333,vd,4.9511693746229e-05,6.63696177874957e-05,3.4035067,SUCCESS,,
50,25,2,50,SHADD,SH_ADD,20,0.0013,12.6,0.000416666666666667,1440,120.083391243919,50.0000000000277,12,12.5995833333333,vd,0.00036925157406237,0.000787355582382412,4.3972241,SUCCESS,,
51,26,1,51,Passive,Passive,25,0.00104,12.48,0.000333333333333333,1441,120.083333333333,40.0000000000222,12,12.48,vd,0.000100333635492909,0.000172922693180511,3.2755441,SUCCESS,,
52,26,2,52,SHADD,SH_ADD,25,0.00104,12.48,0.000333333333333333,1441,120.083333333333,40.0000000000222,12,12.48,vd,0.000224172112431952,0.00057970315733368,5.2183293,SUCCESS,,
53,27,1,53,Passive,Passive,30,0.000866666666666667,12.4,0.000277777777777778,1441,120.083333333333,33.3333333333518,12,12.4,vd,0.000202151593135083,0.000452364466967824,3.7730855,SUCCESS,,
54,27,2,54,SHADD,SH_ADD,30,0.000866666666666667,12.4,0.000277777777777778,1441,120.083333333333,33.3333333333518,12,12.4,vd,0.00116354182302169,0.00389378443142114,4.6731312,SUCCESS,,
